"steps" "date" "interval" "date2" "dailyMean"
"1" 37.3825995807128 2012-10-01 0 1 37.3825995807128
"2" 37.3825995807128 2012-10-01 5 1 37.3825995807128
"3" 37.3825995807128 2012-10-01 10 1 37.3825995807128
"4" 37.3825995807128 2012-10-01 15 1 37.3825995807128
"5" 37.3825995807128 2012-10-01 20 1 37.3825995807128
"6" 37.3825995807128 2012-10-01 25 1 37.3825995807128
"7" 37.3825995807128 2012-10-01 30 1 37.3825995807128
"8" 37.3825995807128 2012-10-01 35 1 37.3825995807128
"9" 37.3825995807128 2012-10-01 40 1 37.3825995807128
"10" 37.3825995807128 2012-10-01 45 1 37.3825995807128
"11" 37.3825995807128 2012-10-01 50 1 37.3825995807128
"12" 37.3825995807128 2012-10-01 55 1 37.3825995807128
"13" 37.3825995807128 2012-10-01 100 1 37.3825995807128
"14" 37.3825995807128 2012-10-01 105 1 37.3825995807128
"15" 37.3825995807128 2012-10-01 110 1 37.3825995807128
"16" 37.3825995807128 2012-10-01 115 1 37.3825995807128
"17" 37.3825995807128 2012-10-01 120 1 37.3825995807128
"18" 37.3825995807128 2012-10-01 125 1 37.3825995807128
"19" 37.3825995807128 2012-10-01 130 1 37.3825995807128
"20" 37.3825995807128 2012-10-01 135 1 37.3825995807128
"21" 37.3825995807128 2012-10-01 140 1 37.3825995807128
"22" 37.3825995807128 2012-10-01 145 1 37.3825995807128
"23" 37.3825995807128 2012-10-01 150 1 37.3825995807128
"24" 37.3825995807128 2012-10-01 155 1 37.3825995807128
"25" 37.3825995807128 2012-10-01 200 1 37.3825995807128
"26" 37.3825995807128 2012-10-01 205 1 37.3825995807128
"27" 37.3825995807128 2012-10-01 210 1 37.3825995807128
"28" 37.3825995807128 2012-10-01 215 1 37.3825995807128
"29" 37.3825995807128 2012-10-01 220 1 37.3825995807128
"30" 37.3825995807128 2012-10-01 225 1 37.3825995807128
"31" 37.3825995807128 2012-10-01 230 1 37.3825995807128
"32" 37.3825995807128 2012-10-01 235 1 37.3825995807128
"33" 37.3825995807128 2012-10-01 240 1 37.3825995807128
"34" 37.3825995807128 2012-10-01 245 1 37.3825995807128
"35" 37.3825995807128 2012-10-01 250 1 37.3825995807128
"36" 37.3825995807128 2012-10-01 255 1 37.3825995807128
"37" 37.3825995807128 2012-10-01 300 1 37.3825995807128
"38" 37.3825995807128 2012-10-01 305 1 37.3825995807128
"39" 37.3825995807128 2012-10-01 310 1 37.3825995807128
"40" 37.3825995807128 2012-10-01 315 1 37.3825995807128
"41" 37.3825995807128 2012-10-01 320 1 37.3825995807128
"42" 37.3825995807128 2012-10-01 325 1 37.3825995807128
"43" 37.3825995807128 2012-10-01 330 1 37.3825995807128
"44" 37.3825995807128 2012-10-01 335 1 37.3825995807128
"45" 37.3825995807128 2012-10-01 340 1 37.3825995807128
"46" 37.3825995807128 2012-10-01 345 1 37.3825995807128
"47" 37.3825995807128 2012-10-01 350 1 37.3825995807128
"48" 37.3825995807128 2012-10-01 355 1 37.3825995807128
"49" 37.3825995807128 2012-10-01 400 1 37.3825995807128
"50" 37.3825995807128 2012-10-01 405 1 37.3825995807128
"51" 37.3825995807128 2012-10-01 410 1 37.3825995807128
"52" 37.3825995807128 2012-10-01 415 1 37.3825995807128
"53" 37.3825995807128 2012-10-01 420 1 37.3825995807128
"54" 37.3825995807128 2012-10-01 425 1 37.3825995807128
"55" 37.3825995807128 2012-10-01 430 1 37.3825995807128
"56" 37.3825995807128 2012-10-01 435 1 37.3825995807128
"57" 37.3825995807128 2012-10-01 440 1 37.3825995807128
"58" 37.3825995807128 2012-10-01 445 1 37.3825995807128
"59" 37.3825995807128 2012-10-01 450 1 37.3825995807128
"60" 37.3825995807128 2012-10-01 455 1 37.3825995807128
"61" 37.3825995807128 2012-10-01 500 1 37.3825995807128
"62" 37.3825995807128 2012-10-01 505 1 37.3825995807128
"63" 37.3825995807128 2012-10-01 510 1 37.3825995807128
"64" 37.3825995807128 2012-10-01 515 1 37.3825995807128
"65" 37.3825995807128 2012-10-01 520 1 37.3825995807128
"66" 37.3825995807128 2012-10-01 525 1 37.3825995807128
"67" 37.3825995807128 2012-10-01 530 1 37.3825995807128
"68" 37.3825995807128 2012-10-01 535 1 37.3825995807128
"69" 37.3825995807128 2012-10-01 540 1 37.3825995807128
"70" 37.3825995807128 2012-10-01 545 1 37.3825995807128
"71" 37.3825995807128 2012-10-01 550 1 37.3825995807128
"72" 37.3825995807128 2012-10-01 555 1 37.3825995807128
"73" 37.3825995807128 2012-10-01 600 1 37.3825995807128
"74" 37.3825995807128 2012-10-01 605 1 37.3825995807128
"75" 37.3825995807128 2012-10-01 610 1 37.3825995807128
"76" 37.3825995807128 2012-10-01 615 1 37.3825995807128
"77" 37.3825995807128 2012-10-01 620 1 37.3825995807128
"78" 37.3825995807128 2012-10-01 625 1 37.3825995807128
"79" 37.3825995807128 2012-10-01 630 1 37.3825995807128
"80" 37.3825995807128 2012-10-01 635 1 37.3825995807128
"81" 37.3825995807128 2012-10-01 640 1 37.3825995807128
"82" 37.3825995807128 2012-10-01 645 1 37.3825995807128
"83" 37.3825995807128 2012-10-01 650 1 37.3825995807128
"84" 37.3825995807128 2012-10-01 655 1 37.3825995807128
"85" 37.3825995807128 2012-10-01 700 1 37.3825995807128
"86" 37.3825995807128 2012-10-01 705 1 37.3825995807128
